Tender ID :,Tender Ref No :,Tender Title :,Work Description,Tender Value in ₹,Tender Currency,Bid Currency,Publish Date,Contract Date :,Update Date,Issuing Authority Name,Issuing Authority Designation,Issuing Organisation Name,Issuing Address,Approving Authority Name,Approving Authority Designation,Approving Organisation Name,EMD Amount,Tender Fee Amount,Tender Processing Fee Amount,is_flood_tender,positive_keywords_dict,negative_keywords_dict,Season,Scheme,Erosion,Roads_Bridges_Embkt,Response Type
6081,RCD/02/Muz-2/2020-21,"Bill of Quantity  for Strengthening of Basghata-Pahsaul-Jajuar-Pupari Road from Km 0.00 to 11.47 (Excluding Portions under N.H -527C) Net Length 6.774 Km with Earth Work,PQC Work, Construction of RCC Box Culvert, Construction of  H.L RCC Bridge, Cross Drain, Road Furniture and Miscellaneous Works For the Year 2020-2021 (Under PLAN HEAD)","Bill of Quantity  for Strengthening of Basghata-Pahsaul-Jajuar-Pupari Road from Km 0.00 to 11.47 (Excluding Portions under N.H -527C) Net Length 6.774 Km with Earth Work,PQC Work, Construction of RCC Box Culvert, Construction of  H.L RCC Bridge, Cross Drain, Road Furniture and Miscellaneous Works For the Year 2020-2021 (Under PLAN HEAD)",189871461.0,INR,INR,2020-12-04 12:27:57+00:00,2020-12-04T11:14:59.384000+00:00,2020-12-11T10:47:05+00:00,RAM SAKAL SINGH,EXECUTIVE ENGINEER,ROAD CONSTRUCTION DEPARTMENT,"MARIPUR, MUZAFFARPUR","SUPERINTENDING ENGINEER, NORTH BIHAR ROAD CIRCLE MUZAFFARPUR",SE,ROAD DIVISION NO 1 MUZAFFARPUR,2899000.0,10000.0,5900.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 2, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 2, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Repair and Restoration
6084,NIT19/2020-21/GR-02,Construction of rcc drain With cover in high court colony from bipin shaw to infront house of sunil mahto in ward no 28 under nagar parishad phulwari sharif,Construction of rcc drain With cover in high court colony from bipin shaw to infront house of sunil mahto in ward no 28 under nagar parishad phulwari sharif,1826446.0,INR,INR,2020-12-05 07:07:52+00:00,2020-12-05T07:01:20.439000+00:00,2020-12-18T09:57:12+00:00,EO,EO NAGAR PARISHAD PHULWARI SHARIF,NAGAR PARISHAD PHULWARI SHARIF,"SAHID BHAGAT SINGH GOLAMBAR, CHUNAUTI KUAN PHULWARI SHARIF, PATNA",MANOJ KUMAR,"EXECUTIVE OFFICER, Nagar Parishad Aurangabad",Nagar Parishad Aurangabad,36600.0,5000.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6086,NIT-03/2020-21/GROUP01,GROUP 01 : CONSTRUCTION OF RCC DRAIN FROM VIJAY JI GRILL SHOP TO JOINING OF BANDTH FOR WARD NO -06 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 01 : CONSTRUCTION OF RCC DRAIN FROM VIJAY JI GRILL SHOP TO JOINING OF BANDTH FOR WARD NO -06 UNDER NAGAR PANCHAYAT CHANPATIA,2457902.0,INR,INR,2020-12-06 19:31:45+00:00,2020-12-05T09:54:36.531000+00:00,2022-01-12T12:09:08+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,49700.0,5000.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6092,NIT-03/2020-21/GROUP05,GROUP 05 : CONSTRUCTION OF RCC DRAIN FROM ADALAT MIA HOUSE TO SIMA DEVI HOUSE FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 05 : CONSTRUCTION OF RCC DRAIN FROM ADALAT MIA HOUSE TO SIMA DEVI HOUSE FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,221996.0,INR,INR,2020-12-06 19:29:32+00:00,2020-12-05T13:44:53.912000+00:00,2022-01-12T11:58:10+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,4500.0,500.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6093,NIT-03/2020-21/GROUP06,GROUP 06 : CONSTRUCTION OF RCC DRAIN FROM GOVIND PANDIT TO THE HOUSE OF KHANIAHA PATEL FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 06 : CONSTRUCTION OF RCC DRAIN FROM GOVIND PANDIT TO THE HOUSE OF KHANIAHA PATEL FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,258018.0,INR,INR,2020-12-06 19:35:09+00:00,2020-12-05T13:45:08.077000+00:00,2022-01-12T11:46:23+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,5300.0,750.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6094,NIT-03/2020-21/GROUP07,GROUP 07 : CONSTRUCTION OF RCC DRAIN & PCC SIDE SLOPE FROM PARASH JI HOUSE TO BIRENDRA DIKSHIT HOUSE FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 07 : CONSTRUCTION OF RCC DRAIN & PCC SIDE SLOPE FROM PARASH JI HOUSE TO BIRENDRA DIKSHIT HOUSE FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,279785.0,INR,INR,2020-12-06 19:36:49+00:00,2020-12-05T13:45:19.461000+00:00,2022-01-12T11:51:57+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,5700.0,750.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6096,NIT-03/2020-21/GROUP09,GROUP 09 : CONSTRUCTION OF RCC DRAIN PCC ROAD FROM BIRENDRA DIKSHIT HOUSE TO SARWARE THAKUR FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 09 : CONSTRUCTION OF RCC DRAIN PCC ROAD FROM BIRENDRA DIKSHIT HOUSE TO SARWARE THAKUR FOR WARD NO - 02 UNDER NAGAR PANCHAYAT CHANPATIA,697416.0,INR,INR,2020-12-06 19:39:46+00:00,2020-12-05T13:45:43.220000+00:00,2022-01-12T12:36:26+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,14100.0,1250.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6097,NIT-03/2020-21/GROUP10,GROUP 10 : CONSTRUCTION OF SMALL DRAIN NEAR LAL MEDICAL SHOP FOR WARD NO -07 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 10 : CONSTRUCTION OF SMALL DRAIN NEAR LAL MEDICAL SHOP FOR WARD NO -07 UNDER NAGAR PANCHAYAT CHANPATIA,157796.0,INR,INR,2020-12-06 19:41:44+00:00,2020-12-05T13:46:07.974000+00:00,2022-01-12T12:30:28+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,3300.0,500.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6098,NIT-03/2020-21/GROUP11,GROUP 11 : CONSTRUCTION OF SMALL DRAIN AT  SATIHATTA CHAWK FOR WARD NO -05 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 11 : CONSTRUCTION OF SMALL DRAIN AT  SATIHATTA CHAWK FOR WARD NO -05 UNDER NAGAR PANCHAYAT CHANPATIA,157796.0,INR,INR,2020-12-06 19:43:35+00:00,2020-12-05T13:46:20.362000+00:00,2022-01-12T12:24:50+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,3300.0,500.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
6099,NIT-03/2020-21/GROUP12,GROUP 12 : CONSTRUCTION OF SMALL DRAIN NEAR MAIN ROAD GUDDU JI SHOP FOR WARD NO -01 UNDER NAGAR PANCHAYAT CHANPATIA,GROUP 12 : CONSTRUCTION OF SMALL DRAIN NEAR MAIN ROAD GUDDU JI SHOP FOR WARD NO -01 UNDER NAGAR PANCHAYAT CHANPATIA,157796.0,INR,INR,2020-12-06 19:45:50+00:00,2020-12-05T13:46:31.984000+00:00,2022-01-12T12:19:59+00:00,SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,"CHANPATIA, WEST CHAMPARAN, BIHAR",SHIVANSHU SHIVESH,EXECUTIVE OFFICER,NAGAR PANCHAYAT CHANPATIA,3300.0,500.0,590.0,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0, 'Bridge': 0, 'River': 0, 'Drain': 2, 'Restoration': 0, 'Protection': 0, 'irr': 0, 'irrigation': 0, 'dam': 0, 'Nallah': 0, 'Retrofitting': 0, 'Pond': 0, 'Pokhari': 0, 'D/C': 0, 'Recharge shaft': 0, 'LFB': 0, 'RFB': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0, 'supply': 0, 'Beautification': 0, 'Installation': 0}",,,False,True,Immediate Measures
