class,age,male,female
0,0 to 1,1818.9,1644.03
1,1 to 5,7021.62,6335.56
10,10 to 15,8833.38,7558.82
15,15 to 20,7390.92,5308.5
20,20 to 25,6498.01,5085.95
25,25 to 30,6080.81,5346.07
30,30 to 35,5885.07,5265.88
35,35 to 40,5255.9,4526.06
40,40 to 45,4313.87,3627.34
45,45 to 50,3511.57,3163.46
5,5 to 10,9270.36,8310.23
50,50 to 55,3045.1,2706.06
55,55 to 60,2543.71,2607.64
60,60 to 65,2473.59,2283.08
65,65 to 70,1947.11,1661.13
70,70 to 75,1093.41,862.73
75,75 to 80,545.63,462.78
80,80 and over,471.19,487.52
