class,age,male,female
0,0 to 1,2326.29,2046.27
1,1 to 5,8980.34,7885.68
10,10 to 15,11748.65,10051.02
15,15 to 20,10372.75,8473.31
20,20 to 25,9201.13,7777.58
25,25 to 30,8789.89,7986.98
30,30 to 35,8827.86,7953.76
35,35 to 40,7582.54,6777.84
40,40 to 45,6405.74,5615.15
45,45 to 50,5293.51,4961.2
5,5 to 10,12012.86,10425.03
50,50 to 55,4691.23,4100.78
55,55 to 60,3935.13,3847.21
60,60 to 65,3567.67,3183.26
65,65 to 70,2663.3,2372.72
70,70 to 75,1662.15,1381.03
75,75 to 80,940.67,851.94
80,80 and over,846.23,893.11
