class,age,male,female
0,0 to 1,3685.81,3316.08
1,1 to 5,14228.59,12779.11
10,10 to 15,16208.26,13238.32
15,15 to 20,11121.13,8065.73
20,20 to 25,9926.02,9662.18
25,25 to 30,10454.35,9632.6
30,30 to 35,10331.56,9514.8
35,35 to 40,8972.53,7857.92
40,40 to 45,7333.31,6432.45
45,45 to 50,6072.69,5632.76
5,5 to 10,18203.23,16197.19
50,50 to 55,5175.99,4717.79
55,55 to 60,4422.1,4550.32
60,60 to 65,4139.55,3775.62
65,65 to 70,3041.43,2667.13
70,70 to 75,1647.44,1418.63
75,75 to 80,836.42,843.34
80,80 and over,732.47,838.36
