class,age,male,female
0,0 to 1,2836.75,2627.52
1,1 to 5,10950.89,10125.6
10,10 to 15,13956.56,12364.81
15,15 to 20,10657.3,9696.33
20,20 to 25,9687.79,8760.95
25,25 to 30,9412.44,8819.46
30,30 to 35,9123.99,8516.76
35,35 to 40,7836.76,7080.76
40,40 to 45,6460.74,5764.63
45,45 to 50,5274.69,4993.73
5,5 to 10,14862.84,13568.94
50,50 to 55,4572.66,3984.17
55,55 to 60,3734.54,4028.11
60,60 to 65,3660.01,3216.7
65,65 to 70,2694.61,2467.45
70,70 to 75,1688.07,1392.47
75,75 to 80,877.86,870.18
80,80 and over,921.47,947.39
