class,age,male,female
0,0 to 1,3479.06,3147.88
1,1 to 5,13430.46,12130.93
10,10 to 15,16862.23,14439.06
15,15 to 20,14117.07,10162.87
20,20 to 25,12404.94,9741.62
25,25 to 30,11632.14,10246.83
30,30 to 35,11274.09,10099.37
35,35 to 40,10073.45,8689.48
40,40 to 45,8278.06,6971.15
45,45 to 50,6739.04,6078.64
5,5 to 10,17686.82,15874.08
50,50 to 55,5846.67,5206.97
55,55 to 60,4879.4,5015.46
60,60 to 65,4737.47,4396.4
65,65 to 70,3727.65,3203.82
70,70 to 75,2098.42,1670.76
75,75 to 80,1046.4,897.82
80,80 and over,906.89,941.21
