class,age,male,female
0,0 to 1,2243.14,2071.28
1,1 to 5,8659.33,7982.04
10,10 to 15,11849.42,11048.37
15,15 to 20,9200.2,8851.23
20,20 to 25,6828.15,6601.2
25,25 to 30,6181.89,7030.82
30,30 to 35,6154.29,7335.64
35,35 to 40,5717.05,6457.73
40,40 to 45,4874.52,5211.23
45,45 to 50,4099.98,4669.63
5,5 to 10,12323.57,11248.32
50,50 to 55,3873.22,3891.01
55,55 to 60,3316.5,4069.26
60,60 to 65,3639.17,3379.88
65,65 to 70,2554.62,2444.43
70,70 to 75,1641.1,1470.15
75,75 to 80,832.19,828.55
80,80 and over,748.5,805.25
