class,age,male,female
0,0 to 1,1926.08,1744.28
1,1 to 5,7435.38,6721.88
10,10 to 15,9146.65,7900.85
15,15 to 20,6648.61,5596.75
20,20 to 25,5762.19,5268.11
25,25 to 30,5593.16,5324.3
30,30 to 35,5534.37,5382.94
35,35 to 40,4959.05,4560.51
40,40 to 45,4137.2,3684.12
45,45 to 50,3362.95,3194.93
5,5 to 10,9886.7,8897.43
50,50 to 55,2948.53,2607.35
55,55 to 60,2465.46,2723.73
60,60 to 65,2627.72,2418.51
65,65 to 70,1977.79,1766.77
70,70 to 75,1188.81,992.17
75,75 to 80,618.89,555.58
80,80 and over,508.97,554.95
