class,age,male,female
0,0 to 1,1574.96,1461.26
1,1 to 5,6079.94,5631.23
10,10 to 15,7744.58,6864.78
15,15 to 20,5923.14,5394.3
20,20 to 25,5385.28,4870.1
25,25 to 30,5229.77,4899.59
30,30 to 35,5056.28,4721.4
35,35 to 40,4344.98,3924.11
40,40 to 45,3577.1,3193.33
45,45 to 50,2922.86,2767.32
5,5 to 10,8246.94,7536.6
50,50 to 55,2531.27,2209.23
55,55 to 60,2069.42,2230.41
60,60 to 65,2022.72,1775.71
65,65 to 70,1485.13,1361.31
70,70 to 75,930.4,767.59
75,75 to 80,483.62,479.92
80,80 and over,509.88,525.51
