class,age,male,female
0,0 to 1,1413.3,1275.76
1,1 to 5,5455.85,4916.38
10,10 to 15,6812.68,5896.34
15,15 to 20,5189.89,4368.17
20,20 to 25,4584.9,4095.77
25,25 to 30,4507.77,4223.11
30,30 to 35,4569.83,4266.17
35,35 to 40,3932.66,3576.98
40,40 to 45,3346.47,2941.47
45,45 to 50,2688.3,2555.69
5,5 to 10,7354.28,6540.87
50,50 to 55,2377.83,2109.66
55,55 to 60,1991.25,2134.59
60,60 to 65,2000.53,1922.44
65,65 to 70,1658.72,1508.96
70,70 to 75,985.59,827.35
75,75 to 80,518.03,478.35
80,80 and over,412.46,439.91
