class,age,male,female
0,0 to 1,1259.89,1127.83
1,1 to 5,4863.66,4346.3
10,10 to 15,6645.52,5712.01
15,15 to 20,5591.91,4546.22
20,20 to 25,4750.29,3890.1
25,25 to 30,4437.5,4057.56
30,30 to 35,4333.66,4142.26
35,35 to 40,3818.74,3541.69
40,40 to 45,3220.17,2924.03
45,45 to 50,2655.48,2590.39
5,5 to 10,6964.08,6058.29
50,50 to 55,2393.42,2159.86
55,55 to 60,1987.01,2130.53
60,60 to 65,1969.07,1742.01
65,65 to 70,1478.16,1344.84
70,70 to 75,983.88,809.89
75,75 to 80,549.95,483.23
80,80 and over,514.36,491.11
