class,age,male,female
0,0 to 1,2550.48,2306.13
1,1 to 5,9841.78,8881.89
10,10 to 15,12537.8,11034.41
15,15 to 20,9465.67,7398.71
20,20 to 25,8125.88,7177.77
25,25 to 30,7877.92,7561.41
30,30 to 35,7958.99,7737.75
35,35 to 40,7216.8,6583.06
40,40 to 45,5855.37,5381.41
45,45 to 50,4993.3,4743.88
5,5 to 10,13331,12049.56
50,50 to 55,4281.68,4060.62
55,55 to 60,3767.17,3954.92
60,60 to 65,3572.44,3447.16
65,65 to 70,2793.86,2471.58
70,70 to 75,1456.31,1345.67
75,75 to 80,793.24,771.76
80,80 and over,639.58,742.57
