Tender ID :,Tender Ref No :,Tender Title :,Work Description,Tender Value in ₹,Tender Currency,Bid Currency,Publish Date,Contract Date :,Update Date,Issuing Authority Name,Issuing Authority Designation,Issuing Organisation Name,Issuing Address,Approving Authority Name,Approving Authority Designation,Approving Organisation Name,EMD Amount,Tender Fee Amount,Tender Processing Fee Amount
24628,NIT-32/PR/BSPTCL/2022,"Design, Manufacture and supply of 11 nos. of Transformer Winding Resistance Meter","Design, Manufacture and supply of 11 nos. of Transformer Winding Resistance Meter",8825102.0,INR,INR,2022-08-01 08:26:29+00:00,2022-07-29T11:54:26.215000+00:00,2023-08-24T11:53:37+00:00,MADHU PRIYA,ELECTRICAL EXECUTIVE ENGINEER,BSPTCL,VIDYUT BHAWAN PATNA,AMAR KUMAR MISHRA,ESE,BSPTCL,177000.0,11800.0,3540.0
24695,NIT 05/2022,Ward No -39 and 43 me Kachchi Talab se Pillu Pokhar hote huye Katra Nadi mor tak Nali ka Nirman avam Katra Nadi mor ke pas puliya nirman avam Pakki talab se Pillu pokhar tak nali ka nirman.,Ward No -39 and 43 me Kachchi Talab se Pillu Pokhar hote huye Katra Nadi mor tak Nali ka Nirman avam Katra Nadi mor ke pas puliya nirman avam Pakki talab se Pillu pokhar tak nali ka nirman.,9753400.0,INR,INR,2022-08-01 11:16:09+00:00,2022-07-30T11:42:06.316000+00:00,2022-08-27T06:48:10+00:00,MUNICIPAL COMMISSIONER (BIHARSHARIF),MUNICIPAL COMMISSIONER,BIHARSHARIF MUNICIPAL CORPORATION,Biharsharif Nagar Nigam Garhpar Biharsharif Nalanda,MUNICIPAL COMMISSIONER (BIHARSHARIF),MUNICIPAL COMMISSIONER,BIHARSHARIF MUNICIPAL CORPORATION,195500.0,10000.0,3540.0
24706,NIT 07/2022-23/JHAJHA/GROUP1,RENOVATION WORK OF GUGULDIH BRANCH CANAL OF NAKTI RESERVOIR SCHEME UNDER IRRIGATION DIVISION JHAJHA,RENOVATION WORK OF GUGULDIH BRANCH CANAL OF NAKTI RESERVOIR SCHEME UNDER IRRIGATION DIVISION JHAJHA,3043000.0,INR,INR,2022-08-06 11:48:03+00:00,2022-07-31T08:22:31.677000+00:00,2022-08-23T13:50:03+00:00,DEEPAK PRADHAN,EXECUTIVE ENGINEER,"IRRIGATION DIVISION, JHAJHA",JHAJHA,Harish Kumar,Superintending Engineer,WATER AND LAND MANAGEMENT INSTITUTE,61000.0,5000.0,590.0
24708,04/BCD/HAJIPUR/2022-23,Construction of 100 Baded Boy's Hostel I.T.I. Hajipur Dist. Vaishali for the Year 2022-23,Construction of 100 Baded Boy's Hostel I.T.I. Hajipur Dist. Vaishali for the Year 2022-23,52473038.0,INR,INR,2022-08-01 05:35:02+00:00,2022-08-01T04:52:14.068000+00:00,2023-01-31T11:06:44+00:00,"Executive Engineer, BUILDING DIVISION VAISHALI, HAJIPUR",EE,"Vaishali  Building  Division,  Hajipur","Executive  Engineer, Vaishali  Building  Division,  Hajipur","Superintending Engineer, Building Circle Muzaffarpur",SE,Building Circle Muzaffarpur,1050000.0,10000.0,5900.0
24713,"NIT 09/E/Bankipur/2022, Gr. No. 04",Repair of Manhole in Dariyapur Bari Path from Chauraha to Kali Mandir in ward no. 40,Repair of Manhole in Dariyapur Bari Path from Chauraha to Kali Mandir in ward no. 40,101211.0,INR,INR,2022-08-01 07:28:03+00:00,2022-08-01T07:22:50.480000+00:00,2023-10-05T10:55:22+00:00,"Aashish Prasad, Executive Engineer",EE,"BANKIPUR DIVISION, Patna Municipal Corporation, Patna","Ambedkar Bhawan, Vaishali Golumbar,Rajendra Nagar,Patna","Aashish Prasad, Executive Engineer",EE,"Bankipur Division,Patna Municipal Corporation,Patna",2100.0,500.0,590.0
24707,NIT 07/2022-23/JHAJHA/GROUP-02,RENOVATION WORK OF DHOLKATWA BRANCH CANAL OF NAKTI RESERVOIR SCHEME UNDER IRRIGATION DIVISION JHAJHA,RENOVATION WORK OF DHOLKATWA BRANCH CANAL OF NAKTI RESERVOIR SCHEME UNDER IRRIGATION DIVISION JHAJHA,3230000.0,INR,INR,2022-08-06 11:49:46+00:00,2022-07-31T08:22:47.485000+00:00,2022-08-23T13:50:44+00:00,DEEPAK PRADHAN,EXECUTIVE ENGINEER,"IRRIGATION DIVISION, JHAJHA",JHAJHA,Harish Kumar,Superintending Engineer,WATER AND LAND MANAGEMENT INSTITUTE,65000.0,5000.0,590.0
24709,"NIT 09/E/Bankipur/2022, Gr. No. 01",Spreading of Lacal Sand at Dargah Shaharja Compound and Dargah Road on Occasion of Muharram 2022 in ward no. 50.,Spreading of Lacal Sand at Dargah Shaharja Compound and Dargah Road on Occasion of Muharram 2022 in ward no. 50.,108863.0,INR,INR,2022-08-01 07:06:56+00:00,2022-08-01T06:44:41.075000+00:00,2025-04-17T10:41:29+00:00,"Aashish Prasad, Executive Engineer",EE,"BANKIPUR DIVISION, Patna Municipal Corporation, Patna","Ambedkar Bhawan, Vaishali Golumbar,Rajendra Nagar,Patna","Aashish Prasad, Executive Engineer",EE,"Bankipur Division,Patna Municipal Corporation,Patna",2200.0,500.0,590.0
24711,"NIT 09/E/Bankipur/2022, Gr. No. 02",Repair of Manhole/Catchpit in different places in ward no. 38. under Bankipur Division.,Repair of Manhole/Catchpit in different places in ward no. 38. under Bankipur Division.,195138.0,INR,INR,2022-08-01 07:14:41+00:00,2022-08-01T07:07:41.167000+00:00,2022-08-05T09:30:02+00:00,"Aashish Prasad, Executive Engineer",EE,"BANKIPUR DIVISION, Patna Municipal Corporation, Patna","Ambedkar Bhawan, Vaishali Golumbar,Rajendra Nagar,Patna","Aashish Prasad, Executive Engineer",EE,"Bankipur Division,Patna Municipal Corporation,Patna",2100.0,500.0,590.0
24712,"NIT 09/E/Bankipur/2022, Gr. No. 03",Repair of Manhole/Catchpit in different places in ward no. 40. under Bankipur Division.,Repair of Manhole/Catchpit in different places in ward no. 40. under Bankipur Division.,58460.0,INR,INR,2022-08-01 07:21:33+00:00,2022-08-01T07:15:32.122000+00:00,2023-10-05T10:48:57+00:00,"Aashish Prasad, Executive Engineer",EE,"BANKIPUR DIVISION, Patna Municipal Corporation, Patna","Ambedkar Bhawan, Vaishali Golumbar,Rajendra Nagar,Patna","Aashish Prasad, Executive Engineer",EE,"Bankipur Division,Patna Municipal Corporation,Patna",1200.0,500.0,590.0
24719,"NIT 09/E/Bankipur/2022, Gr. No. 10",Repair of Manhole/Catch Pit in different places in ward no. 48,Repair of Manhole/Catch Pit in different places in ward no. 48,193295.0,INR,INR,2022-08-01 08:04:46+00:00,2022-08-01T07:58:49.940000+00:00,2022-09-07T12:01:39+00:00,"Aashish Prasad, Executive Engineer",EE,"BANKIPUR DIVISION, Patna Municipal Corporation, Patna","Ambedkar Bhawan, Vaishali Golumbar,Rajendra Nagar,Patna","Aashish Prasad, Executive Engineer",EE,"Bankipur Division,Patna Municipal Corporation,Patna",3900.0,500.0,590.0
