class,age,male,female
0,0 to 1,1540.15,1406.64
1,1 to 5,5901.31,5380.39
10,10 to 15,8468.83,7854.54
15,15 to 20,7078.34,6522.5
20,20 to 25,5451.28,4735.74
25,25 to 30,4803.64,5030.82
30,30 to 35,4742.01,5278.18
35,35 to 40,4405.65,4665.36
40,40 to 45,3685.75,3765.76
45,45 to 50,3046.6,3318.09
5,5 to 10,8432.77,7606.47
50,50 to 55,2793.05,2746.56
55,55 to 60,2349.9,2962.16
60,60 to 65,2719.25,2673.19
65,65 to 70,2161.34,2065.06
70,70 to 75,1387.15,1212.57
75,75 to 80,699.88,679.3
80,80 and over,609.7,662.68
