class,age,male,female
0,0 to 1,1254.89,1146.63
1,1 to 5,4808.29,4385.87
10,10 to 15,6864.73,6367.34
15,15 to 20,5707.4,5256.66
20,20 to 25,4389.12,3827.43
25,25 to 30,3877.33,4073.31
30,30 to 35,3832.3,4275.95
35,35 to 40,3561.07,3780.14
40,40 to 45,2983.93,3050.08
45,45 to 50,2466.47,2690.23
5,5 to 10,6854.3,6187.95
50,50 to 55,2263.84,2226.68
55,55 to 60,1905.34,2399.99
60,60 to 65,2201.43,2156.9
65,65 to 70,1739.68,1661.18
70,70 to 75,1115.82,976.18
75,75 to 80,561.93,545.48
80,80 and over,488.84,530.92
