class,age,male,female
0,0 to 1,5325.68,4897.01
1,1 to 5,20406.08,18731.06
10,10 to 15,23001.28,20153.46
15,15 to 20,17489.46,13935.32
20,20 to 25,14865.63,13577.19
25,25 to 30,14402.19,13464.65
30,30 to 35,14112.98,13351.33
35,35 to 40,13018.34,11596.45
40,40 to 45,10677.7,9706.23
45,45 to 50,9021.98,8300.3
5,5 to 10,25200.83,23084.63
50,50 to 55,7714.43,6946.72
55,55 to 60,6437.66,6251.63
60,60 to 65,5748.58,5115.46
65,65 to 70,4384.64,3552.06
70,70 to 75,2207.13,1750.92
75,75 to 80,999.47,893.21
80,80 and over,994.17,974.47
