class,age,male,female
0,0 to 1,2197.49,2040.71
1,1 to 5,8419.43,7805.02
10,10 to 15,9521.81,8401.11
15,15 to 20,7062.53,5449.26
20,20 to 25,5815.94,5404.77
25,25 to 30,5968.99,5606.95
30,30 to 35,5804.22,5615.18
35,35 to 40,5477.46,4863
40,40 to 45,4415.45,4007.29
45,45 to 50,3755.18,3421.04
5,5 to 10,10665.44,9752.56
50,50 to 55,3151.89,2850.39
55,55 to 60,2581.02,2569.28
60,60 to 65,2354.66,2100.91
65,65 to 70,1845.93,1525.25
70,70 to 75,953.11,752.3
75,75 to 80,451.61,379.47
80,80 and over,392.26,359.23
