class,age,male,female
0,0 to 1,2960.63,2676.21
1,1 to 5,11343.58,10235.86
10,10 to 15,14252.71,12492.84
15,15 to 20,10672.13,8260.53
20,20 to 25,9214.55,8173.67
25,25 to 30,9076.95,8654.34
30,30 to 35,9205.01,8899.3
35,35 to 40,8431.12,7625.76
40,40 to 45,6808.56,6235.97
45,45 to 50,5793.92,5482.68
5,5 to 10,15110.26,13667.75
50,50 to 55,4950.41,4676.74
55,55 to 60,4370.59,4570.4
60,60 to 65,4139.8,3973.7
65,65 to 70,3294.64,2900.45
70,70 to 75,1714.04,1574.73
75,75 to 80,904.12,879.43
80,80 and over,733.29,846.82
