class,age,male,female
0,0 to 1,3837.2,3437.99
1,1 to 5,14702.77,13150.3
10,10 to 15,16793.26,14127.36
15,15 to 20,11716.9,8534.96
20,20 to 25,10147.08,9975.08
25,25 to 30,10804.43,10250.59
30,30 to 35,10988.75,10315.27
35,35 to 40,9905.9,8545.07
40,40 to 45,7908.84,6946.9
45,45 to 50,6628.59,6115.71
5,5 to 10,18921.9,17100.08
50,50 to 55,5645.74,5112.7
55,55 to 60,4863.68,4974.62
60,60 to 65,4537.41,3938.08
65,65 to 70,3316.7,2739.31
70,70 to 75,1788.19,1442.5
75,75 to 80,817.06,738.72
80,80 and over,719.63,739.98
