class,age,male,female
0,0 to 1,2246,2008.8
1,1 to 5,8605.86,7683.66
10,10 to 15,10489.78,9033.26
15,15 to 20,7971.38,6384.82
20,20 to 25,6858.57,6099.45
25,25 to 30,6670.22,6266.88
30,30 to 35,6649.37,6277.61
35,35 to 40,5949.45,5384.17
40,40 to 45,4954.12,4282.24
45,45 to 50,3968.52,3762.67
5,5 to 10,11229.06,10013.5
50,50 to 55,3541.34,3115.26
55,55 to 60,2911.31,3155.82
60,60 to 65,2999.64,2766.26
65,65 to 70,2340.47,2127.92
70,70 to 75,1458.75,1138.11
75,75 to 80,704.86,613.71
80,80 and over,569.34,595.44
