class,age,male,female
0,0 to 1,1580.03,1409.56
1,1 to 5,6054.12,5391.57
10,10 to 15,7004.04,5856.53
15,15 to 20,5239.97,3585.69
20,20 to 25,4514.66,3962.29
25,25 to 30,4405.02,3978.61
30,30 to 35,4342.53,3990.38
35,35 to 40,3906.18,3325.66
40,40 to 45,3122.48,2658.3
45,45 to 50,2522.04,2297.6
5,5 to 10,7536.92,6661.31
50,50 to 55,2174.34,1864.35
55,55 to 60,1773.41,1859.04
60,60 to 65,1733.05,1609.28
65,65 to 70,1397.57,1185.07
70,70 to 75,739.48,598.43
75,75 to 80,340.37,312.58
80,80 and over,297.78,318.45
