class,age,male,female
0,0 to 1,1380.16,1245.92
1,1 to 5,5288.26,4765.66
10,10 to 15,6565.06,5682.19
15,15 to 20,5040.85,4243.08
20,20 to 25,4467.05,3991.12
25,25 to 30,4393.02,4115.95
30,30 to 35,4470.35,4173.71
35,35 to 40,3887.67,3536.22
40,40 to 45,3315.36,2914.16
45,45 to 50,2659.62,2528.53
5,5 to 10,7039.05,6260.86
50,50 to 55,2351.96,2086.79
55,55 to 60,1973.7,2116.32
60,60 to 65,1988.64,1911.37
65,65 to 70,1680.86,1529.17
70,70 to 75,1004.91,843.59
75,75 to 80,515.29,475.84
80,80 and over,407,434.1
