object_id,sum_aged_population
10-203-01013,23766.169999999925
10-203-01014,17858.385000000242
10-203-01015,12346.859999999986
10-203-01016,12765.285000000147
10-203-01017,30816.01500000013
10-203-01018,23528.334999999963
10-203-01019,30818.25500000035
10-203-01021,10022.684999999998
10-203-01022,8546.180000000051
10-203-01023,6050.070000000007
10-203-01024,21395.215000000084
10-203-01025,23883.784999999916
10-203-01026,15253.045000000158
10-203-01027,25562.165000000037
10-203-01028,12271.910000000033
10-203-01029,19083.88500000001
10-203-01030,23292.12000000011
10-204-01031,13078.030000000028
10-204-01032,13891.89500000002
10-204-01033,16553.780000000028
10-204-01034,20302.509999999776
10-204-01035,10545.084999999965
10-204-01036,14772.410000000147
10-204-01037,6384.815000000002
10-204-01038,11730.389999999898
10-204-01039,23347.850000000093
10-204-01040,21728.480000000214
10-204-01041,27025.180000000168
10-204-01042,15559.565000000175
10-204-01043,16081.496666666586
10-204-01044,11152.524999999909
10-204-01045,14972.540000000035
10-204-01046,12332.794999999924
10-204-01047,18723.669999999925
10-204-01048,22562.97499999986
10-204-01049,19336.314999999944
10-204-01050,3708.109999999986
10-204-01051,15703.735000000102
10-204-01052,11210.920000000042
10-204-01053,16914.39500000002
10-204-01054,6520.554999999993
10-204-01055,14478.25500000012
10-204-01056,8123.009999999893
10-204-01057,15319.86999999988
10-205-01058,8196.094999999972
10-205-01059,12078.56500000006
10-205-01060,15408.77500000014
10-205-01061,9130.89500000002
10-205-01062,24100.219999999972
10-206-01063,7474.574999999953
10-206-01064,6198.4400000000605
10-206-01065,5737.835000000021
10-206-01066,11658.095000000088
10-206-01067,24577.405000000028
10-206-01068,20473.11499999999
10-206-01069,20876.169999999925
10-206-01070,12815.955000000076
10-206-01071,8776.464999999967
10-206-01072,11522.574999999952
10-206-01073,51493.01500000013
10-206-01074,37508.15999999968
10-206-01075,18623.055000000168
10-206-01076,6990.760000000009
10-206-01077,14025.195000000063
10-206-01078,23601.85999999987
10-206-01079,9427.56500000006
10-207-01080,9687.709999999965
10-207-01081,13045.379999999888
10-207-01082,8654.474999999977
10-207-01083,15134.330000000076
10-207-01084,9527.31500000006
10-207-01085,12363.594999999972
10-207-01086,16917.14000000013
10-207-01087,12933.55999999994
10-207-01088,11440.04999999993
10-207-01089,12411.939999999944
10-207-01090,9747.244999999995
10-207-01091,28533.08999999985
10-207-01092,29278.08999999985
10-207-01093,28417.60999999987
10-207-01094,30129.209999999963
10-207-01095,21607.139999999898
10-207-01096,14380.86499999999
10-207-01097,22152.975000000093
10-207-01098,17732.034999999916
10-207-01099,19541.300000000047
10-207-01100,25424.649999999907
10-208-01101,5966.604999999981
10-208-01102,14265.76000000001
10-208-01103,21891.549999999817
10-208-01104,10303.660000000033
10-208-01105,16842.215000000084
10-208-01106,13589.76000000001
10-208-01107,13222.39500000002
10-208-01108,15588.52000000002
10-208-01109,34063.16999999946
10-208-01110,17398.23999999999
10-208-01111,25605.310000000056
10-209-01112,26778.05000000028
10-209-01113,36063.779999999795
10-209-01114,19182.27000000002
10-209-01115,30096.70499999961
10-209-01116,37995.15000000037
10-209-01117,10382.229999999863
10-209-01118,9056.099999999977
10-209-01119,14694.720000000205
10-209-01120,26105.064999999944
10-210-01121,11950.409999999916
10-210-01122,15691.10999999987
10-210-01123,22731.090000000084
10-210-01124,17894.290000000037
10-210-01125,17129.20499999984
10-210-01126,19648.540000000037
10-210-01127,12182.655000000028
10-211-01128,25974.774999999907
10-211-01129,16609.27000000002
10-211-01130,11466.449999999952
10-211-01131,16750.554999999935
10-211-01132,19183.955000000075
10-211-01133,20037.184999999823
10-211-01134,31188.564999999944
10-211-01135,10875.974999999977
10-211-01136,7510.895000000135
10-211-01137,8822.255000000005
10-211-01138,21121.40000000014
10-211-01139,12465.480000000098
10-211-01140,15637.195000000063
10-211-01141,14834.98499999987
10-212-01142,10590.830000000076
10-212-01143,18337.094999999972
10-212-01144,3378.8850000000093
10-212-01145,24594.54000000027
10-212-01146,10752.949999999952
10-212-01147,20906.159999999916
10-212-01148,24131.435000000056
10-212-01149,11317.865000000107
10-212-01150,5081.940000000002
10-212-01151,22778.27500000014
10-212-01152,6332.974999999977
10-212-01153,20659.76000000024
10-212-01154,5515.005000000063
10-212-01155,4701.959999999963
10-212-01156,13912.924999999814
10-212-01157,11512.150000000023
10-213-01158,9996.089999999967
10-213-01159,5490.510000000009
10-213-01160,8982.625
10-213-01161,22288.74500000011
10-213-01162,6017.8300000000745
10-213-01163,16423.960000000196
10-213-01164,15516.845000000205
10-213-01165,6002.780000000028
10-213-01166,7099.260000000009
10-213-01167,11593.879999999888
10-213-01168,8866.259999999893
10-213-01169,14519.269999999786
10-213-01170,16348.930000000168
10-214-01171,12767.890000000014
10-214-01172,9499.904999999912
10-214-01173,20869.22999999998
10-214-01174,20518.14500000025
10-214-01175,14026.219999999972
10-214-01176,8639.390000000014
10-214-01177,16573.679999999935
10-214-01178,26741.01000000024
10-214-01179,16106.105000000214
10-214-01180,8945.734999999986
10-215-01181,22335.534999999916
10-215-01182,26491.37999999989
