gp_code,village_code,sub_district_code,sub_district_name,total_hhd,availablility_hours_of_domestic_electricity,availability_of_telephone_services,total_hhd_having_piped_water_connection,total_hhd_not_having_sanitary_latrines
96550,224479,1145,kadwa,200,4,3,180,5
101213,232394,1243,andar,142,3,2,135,18
98500,216151,1013,sidhaw,200,4,2,50,20
98500,216145,1013,sidhaw,100,4,2,20,25
95567,255326,1495,gaya_town_c-d-block,4000,4,2,500,800
95777,231245,1228,baikunthpur,125,4,4,125,5
98774,217272,1026,sikta,1000,3,2,100,0
98774,217273,1026,sikta,150,4,2,125,10
98774,217271,1026,sikta,250,4,2,200,10
98774,217278,1026,sikta,500,4,2,50,25
101945,234615,1268,vaishali,100,4,2,95,0
94669,238978,1333,rangra_chowk,2648,4,2,1000,55
101767,235636,1278,hajipur,3359,3,3,0,0
96102,259093,1532,khaira,3625,3,2,1000,5
95929,230992,1225,manjha,1010,4,2,500,30
96352,249319,1449,mohania,0,5,4,0,0
96085,258868,1530,jhajha,84,4,2,65,66
94022,253293,1480,obra,90,4,2,65,0
94022,253305,1480,obra,410,4,2,250,0
94471,238495,1321,shamho_akha_kurha,65,3,2,0,0
94471,238536,1321,shamho_akha_kurha,68,4,2,45,0
98696,216700,1017,narkatiaganj,275,4,2,263,75
94471,238481,1321,shamho_akha_kurha,145,3,2,85,0
94471,238487,1321,shamho_akha_kurha,155,4,2,43,0
94471,936845,1321,shamho_akha_kurha,41,3,2,0,0
97704,229179,1209,gaighat,1293,4,4,100,0
101864,235190,1274,patepur,55,4,4,6,0
100236,236478,1287,khanpur,1400,3,2,1200,0
101725,235990,1281,desri,12,3,2,0,0
98792,246309,1414,bakhtiarpur,280,4,2,0,0
96195,260296,1537,kako,210,4,2,210,18
98515,216114,1013,sidhaw,1493,4,2,210,144
94620,239427,1339,nathnagar,5,5,2,0,0
95823,230124,1217,bhorey,190,4,2,2,5
99211,217897,1040,chiraia,935,3,2,900,130
101953,234590,1268,vaishali,365,4,2,175,51
95489,254941,1489,belaganj,600,4,2,200,5
95803,231071,1226,barauli,1610,4,3,1610,5
101133,219478,1073,runisaidpur,648,3,2,300,500
97016,225798,1158,gamharia,571,4,2,456,32
101389,232136,1240,mairwa,116,3,3,110,6
