class,age,male,female
0,0 to 1,1654.9,1465.15
1,1 to 5,6607.99,5840.18
10,10 to 15,8134.41,6988.82
15,15 to 20,6263.02,4831.25
20,20 to 25,5309.95,4616.38
25,25 to 30,5175.75,4809.29
30,30 to 35,5099.68,4697.97
35,35 to 40,4357.64,3893.52
40,40 to 45,3645.41,3080.04
45,45 to 50,2883.73,2728.89
5,5 to 10,8964.32,7928.93
50,50 to 55,2619.94,2296.8
55,55 to 60,2102.36,2238.64
60,60 to 65,2093.88,1938.11
65,65 to 70,1529.22,1409.74
70,70 to 75,1010.9,749.54
75,75 to 80,494.12,420.38
80,80 and over,388.04,391.48
