class,age,male,female
0,0 to 1,2012.17,1769.77
1,1 to 5,8034.59,7054.41
10,10 to 15,10565.62,9038.5
15,15 to 20,9245.75,7553.97
20,20 to 25,8157.22,6893.89
25,25 to 30,7800.03,7086.85
30,30 to 35,7741.4,6974.12
35,35 to 40,6488.37,5799.89
40,40 to 45,5530.24,4847.76
45,45 to 50,4553.05,4267.09
5,5 to 10,11078.34,9612.88
50,50 to 55,4053.71,3543.13
55,55 to 60,3370.75,3294.02
60,60 to 65,3060.46,2729.73
65,65 to 70,2138.43,1905.04
70,70 to 75,1394.47,1158.54
75,75 to 80,807.27,731.08
80,80 and over,707.09,746.18
