class,age,male,female
0,0 to 1,2684.63,2423.45
1,1 to 5,10719.64,9659.84
10,10 to 15,12707.44,10697.22
15,15 to 20,9191.62,6392.58
20,20 to 25,7512.48,6579.52
25,25 to 30,7637.91,7342.09
30,30 to 35,7768.34,7428.04
35,35 to 40,6798.91,6137.43
40,40 to 45,5519.31,4834.24
45,45 to 50,4445.57,4340.73
5,5 to 10,14849.17,13164.08
50,50 to 55,4025.16,3546.94
55,55 to 60,3290.85,3706.13
60,60 to 65,3539.25,2959.64
65,65 to 70,2234.41,1894.53
70,70 to 75,1336.75,1019.72
75,75 to 80,619.66,526.16
80,80 and over,509.79,503.81
