class,age,male,female
0,0 to 1,2035.28,1820.62
1,1 to 5,8126.83,7257.1
10,10 to 15,10012.37,8622.44
15,15 to 20,7470.15,5986.94
20,20 to 25,6373.52,5670.07
25,25 to 30,6203.67,5829.52
30,30 to 35,6088.01,5749.83
35,35 to 40,5260.76,4761.85
40,40 to 45,4409.85,3813.19
45,45 to 50,3524.14,3341.43
5,5 to 10,11069.77,9872.66
50,50 to 55,3159.16,2779.22
55,55 to 60,2569.71,2786.25
60,60 to 65,2647.29,2441.18
65,65 to 70,1897.17,1724.48
70,70 to 75,1226.91,958.02
75,75 to 80,621.59,541.4
80,80 and over,492.5,515.37
