class,age,male,female
0,0 to 1,2514.76,2291.2
1,1 to 5,10041.41,9132.89
10,10 to 15,12119.76,10306.74
15,15 to 20,9428.17,6815.42
20,20 to 25,8209.93,7089.13
25,25 to 30,8167.82,7656.83
30,30 to 35,8064.9,7429.71
35,35 to 40,7053.33,6286.18
40,40 to 45,5909.59,5049.5
45,45 to 50,4737.8,4436.25
5,5 to 10,13420.97,12180.64
50,50 to 55,4200.21,3686.2
55,55 to 60,3353.81,3641.97
60,60 to 65,3313.26,3142.01
65,65 to 70,2496.62,2313.3
70,70 to 75,1555.85,1335.11
75,75 to 80,786.65,773.91
80,80 and over,720.64,750.43
