class,age,male,female
0,0 to 1,3704.9,3376.65
1,1 to 5,14793.61,13459.57
10,10 to 15,20076.54,17768.67
15,15 to 20,14955.57,13782.61
20,20 to 25,13168.22,12017.91
25,25 to 30,12654.04,11957.63
30,30 to 35,12252.18,11501.84
35,35 to 40,10247.91,9595.54
40,40 to 45,8932.79,8111.08
45,45 to 50,7392.45,7142.77
5,5 to 10,22310.3,20117.8
50,50 to 55,6576.64,5694.5
55,55 to 60,5274.83,5677.27
60,60 to 65,5136.57,4418.74
65,65 to 70,3409.65,3296.4
70,70 to 75,2414.8,1955.15
75,75 to 80,1218.22,1190.4
80,80 and over,1152.53,1161.87
