class,age,male,female
0,0 to 1,3141.93,2802.77
1,1 to 5,12545.71,11172.03
10,10 to 15,15549.64,13479.45
15,15 to 20,11574.26,8375.06
20,20 to 25,10194.46,8928.48
25,25 to 30,9602.23,9025.74
30,30 to 35,9479.58,8825.74
35,35 to 40,7966.09,6997.14
40,40 to 45,6383.65,5790.3
45,45 to 50,5301.16,5199.24
5,5 to 10,16501.24,14686.76
50,50 to 55,4782.64,4500.2
55,55 to 60,4169.11,4428.71
60,60 to 65,4066.9,3838.16
65,65 to 70,2955.14,2565.13
70,70 to 75,1676.21,1465.06
75,75 to 80,910.66,843.67
80,80 and over,702.55,806.01
