class,age,male,female
0,0 to 1,1333.43,1203.67
1,1 to 5,5324.37,4797.91
10,10 to 15,6681.49,5782.8
15,15 to 20,5041.24,4243.06
20,20 to 25,4429.56,3957
25,25 to 30,4359.55,4084.25
30,30 to 35,4367.4,4077.2
35,35 to 40,3667.5,3335.8
40,40 to 45,3148.31,2767.3
45,45 to 50,2519.38,2395.1
5,5 to 10,7397.78,6579.56
50,50 to 55,2238.62,1986.15
55,55 to 60,1858.36,1992.14
60,60 to 65,1870.7,1797.68
65,65 to 70,1452.34,1321.21
70,70 to 75,901.35,756.64
75,75 to 80,484.41,447.3
80,80 and over,375.38,400.36
