class,age,male,female
0,0 to 1,2415.1,2150.08
1,1 to 5,9643.46,8570.37
10,10 to 15,12406.75,10662.74
15,15 to 20,9431.53,6692.31
20,20 to 25,8361.53,7177.53
25,25 to 30,8015.58,7317.36
30,30 to 35,7770.14,7020.58
35,35 to 40,6524.2,5628.91
40,40 to 45,5186.71,4497.98
45,45 to 50,4134.84,3863.63
5,5 to 10,13115.94,11564.48
50,50 to 55,3583.79,3247.74
55,55 to 60,2999.45,3212.42
60,60 to 65,3053.8,2903.88
65,65 to 70,2173.05,1904.75
70,70 to 75,1268.31,1079.14
75,75 to 80,644.36,586.86
80,80 and over,545.32,610.04
