class,age,male,female
0,0 to 1,3755.36,3302.95
1,1 to 5,14995.12,13165.79
10,10 to 15,19718.84,16868.75
15,15 to 20,17255.55,14098.14
20,20 to 25,15223.99,12866.21
25,25 to 30,14557.36,13226.34
30,30 to 35,14447.94,13015.96
35,35 to 40,12109.39,10824.46
40,40 to 45,10321.21,9047.48
45,45 to 50,8497.46,7963.75
5,5 to 10,20675.74,17940.72
50,50 to 55,7565.52,6612.62
55,55 to 60,6290.9,6147.71
60,60 to 65,5711.81,5094.55
65,65 to 70,3991,3555.41
70,70 to 75,2602.52,2162.2
75,75 to 80,1506.63,1364.42
80,80 and over,1319.66,1392.61
