class,age,male,female
0,0 to 1,1519.47,1358.35
1,1 to 5,5950.16,5309.99
10,10 to 15,7721.95,6481.35
15,15 to 20,6631.03,4797.21
20,20 to 25,5824.64,4597.76
25,25 to 30,5487.32,4852.74
30,30 to 35,5357.44,4721.35
35,35 to 40,4603.35,4039.44
40,40 to 45,3882,3397.7
45,45 to 50,3275.82,2997.91
5,5 to 10,7931.4,6956.3
50,50 to 55,2878.27,2498.6
55,55 to 60,2345.89,2327.76
60,60 to 65,2139.84,2042.56
65,65 to 70,1606.27,1486.89
70,70 to 75,998.51,843.16
75,75 to 80,516.68,490.1
80,80 and over,444.76,474.83
