class,age,male,female
0,0 to 1,1482.59,1341.19
1,1 to 5,5805.74,5242.92
10,10 to 15,7323.36,6274.63
15,15 to 20,6095,4388.39
20,20 to 25,5340.66,4181.22
25,25 to 30,4994.31,4391.55
30,30 to 35,4803.91,4301.19
35,35 to 40,4241.4,3656.22
40,40 to 45,3492.62,2941.08
45,45 to 50,2841.4,2560.59
5,5 to 10,7780.95,6979.38
50,50 to 55,2468.7,2193.89
55,55 to 60,2052.64,2100.22
60,60 to 65,1992.19,1839.45
65,65 to 70,1522.44,1298.98
70,70 to 75,865.83,683.93
75,75 to 80,438.71,372.54
80,80 and over,377.2,389.96
