class,age,male,female
0,0 to 1,3823.15,3362.57
1,1 to 5,14971.26,13144.84
10,10 to 15,19674.85,16831.12
15,15 to 20,17286.74,14123.63
20,20 to 25,15290.5,12922.42
25,25 to 30,14613.39,13277.25
30,30 to 35,14599.94,13152.89
35,35 to 40,12388.79,11074.21
40,40 to 45,10496.08,9200.77
45,45 to 50,8664.74,8120.52
5,5 to 10,20362.23,17668.68
50,50 to 55,7693.41,6724.4
55,55 to 60,6428.24,6281.92
60,60 to 65,5828.04,5198.22
65,65 to 70,4221.88,3761.1
70,70 to 75,2672.56,2220.39
75,75 to 80,1536.84,1391.78
80,80 and over,1373.7,1449.64
