class,age,male,female
0,0 to 1,4922.47,4406.35
1,1 to 5,19276.14,17225.11
10,10 to 15,26459.55,22743.97
15,15 to 20,22150.46,18012.51
20,20 to 25,18756.02,15361.39
25,25 to 30,17527.5,16028.73
30,30 to 35,17027.34,16278.27
35,35 to 40,14825.43,13752.11
40,40 to 45,12536.31,11385.44
45,45 to 50,10326.53,10075.1
5,5 to 10,28069.55,24417.73
50,50 to 55,9325.53,8416.33
55,55 to 60,7712.24,8270.25
60,60 to 65,7646.87,6765.18
65,65 to 70,5572.11,5070.29
70,70 to 75,3761.04,3096.28
75,75 to 80,2135.23,1876.89
80,80 and over,1984.24,1895.1
