class,age,male,female
0,0 to 1,1953.42,1729.13
1,1 to 5,7649.47,6759.44
10,10 to 15,9545.44,8249.55
15,15 to 20,7804.76,5695.38
20,20 to 25,6664.27,5461.78
25,25 to 30,6221.69,5799.62
30,30 to 35,6255.48,5877.95
35,35 to 40,5508.99,4945.77
40,40 to 45,4519.77,4018.6
45,45 to 50,3705.75,3545.92
5,5 to 10,10011.29,8828.89
50,50 to 55,3277.08,2992.81
55,55 to 60,2821.38,3102.34
60,60 to 65,2966.57,2786.76
65,65 to 70,2339.1,1982.64
70,70 to 75,1297.33,1066.16
75,75 to 80,657.78,605.41
80,80 and over,570.92,617.95
