class,age,male,female
0,0 to 1,1357.26,1193.75
1,1 to 5,5314.95,4666.55
10,10 to 15,6984.77,5975.22
15,15 to 20,6136.97,5014.03
20,20 to 25,5428.28,4587.59
25,25 to 30,5187.9,4713.56
30,30 to 35,5183.12,4669.41
35,35 to 40,4398.14,3931.45
40,40 to 45,3726.21,3266.36
45,45 to 50,3076.07,2882.87
5,5 to 10,7228.79,6272.56
50,50 to 55,2731.24,2387.23
55,55 to 60,2282.09,2230.14
60,60 to 65,2069.01,1845.42
65,65 to 70,1498.81,1335.23
70,70 to 75,948.79,788.26
75,75 to 80,545.6,494.1
80,80 and over,487.68,514.64
