class,age,male,female
0,0 to 1,1397.86,1258.98
1,1 to 5,5473.96,4921.56
10,10 to 15,7393.94,6528.38
15,15 to 20,5787.41,4804.42
20,20 to 25,5042.02,4290.89
25,25 to 30,4906.52,4517.04
30,30 to 35,4834.39,4579.88
35,35 to 40,4237.38,3824.96
40,40 to 45,3539.2,3194.08
45,45 to 50,2900.94,2726.15
5,5 to 10,7787.75,6929.65
50,50 to 55,2517.5,2256.58
55,55 to 60,2094.38,2235.17
60,60 to 65,2083.25,1874.91
65,65 to 70,1532.02,1407.58
70,70 to 75,991.48,821.88
75,75 to 80,511.52,490.67
80,80 and over,471.95,470.18
