class,age,male,female
0,0 to 1,2727.72,2493.92
1,1 to 5,10681.61,9749.12
10,10 to 15,14542.76,12432.84
15,15 to 20,11843.09,9784.09
20,20 to 25,9425.23,8129.29
25,25 to 30,8962.42,8534.03
30,30 to 35,8804.73,8630.36
35,35 to 40,7852.81,7430.32
40,40 to 45,6752.74,6148.15
45,45 to 50,5438.45,5352.02
5,5 to 10,15340.16,13473.5
50,50 to 55,5063.7,4529.39
55,55 to 60,4237.97,4801.34
60,60 to 65,4510.86,3966.15
65,65 to 70,3311.69,2967.81
70,70 to 75,2190.48,1761.01
75,75 to 80,1218.79,1104.41
80,80 and over,1071.67,1058.29
