class,age,male,female
0,0 to 1,1015.64,916.86
1,1 to 5,3977.2,3584.16
10,10 to 15,4987.17,4316.5
15,15 to 20,3776.6,3178.92
20,20 to 25,3326.81,2972.36
25,25 to 30,3272.8,3066.39
30,30 to 35,3300.57,3081.56
35,35 to 40,2806.08,2552.41
40,40 to 45,2394.45,2104.69
45,45 to 50,1921.13,1826.44
5,5 to 10,5450.97,4848.35
50,50 to 55,1702.38,1510.45
55,55 to 60,1420.04,1522.65
60,60 to 65,1427.8,1372.32
65,65 to 70,1149.52,1045.78
70,70 to 75,692.47,581.31
75,75 to 80,369.6,341.3
80,80 and over,292.18,311.63
