class,age,male,female
0,0 to 1,3894.53,3504.78
1,1 to 5,15250.76,13700.73
10,10 to 15,19123.33,16426.77
15,15 to 20,15011.56,11356.58
20,20 to 25,12803.81,10637.53
25,25 to 30,11724.81,10815.6
30,30 to 35,11589.92,10984.05
35,35 to 40,10270.27,9390.95
40,40 to 45,8555.38,7895.42
45,45 to 50,7333.93,6958.65
5,5 to 10,20273.66,17991.98
50,50 to 55,6325.16,5935.96
55,55 to 60,5463.32,5628.51
60,60 to 65,5052.57,4991.6
65,65 to 70,4053.11,3593.18
70,70 to 75,2068.31,1918.08
75,75 to 80,1097.15,1081.77
80,80 and over,819.68,1012.57
