class,age,male,female
0,0 to 1,1463.84,1327.56
1,1 to 5,5732.33,5189.66
10,10 to 15,6847.24,5748.31
15,15 to 20,5039.27,3640.3
20,20 to 25,4235.54,3638.9
25,25 to 30,4111.87,3775.68
30,30 to 35,4138.96,3878.54
35,35 to 40,3697.41,3262.43
40,40 to 45,3033.78,2610.76
45,45 to 50,2433.84,2292.7
5,5 to 10,7610.2,6604.18
50,50 to 55,2169.56,1906.09
55,55 to 60,1824.95,2030.71
60,60 to 65,2024.78,1919.58
65,65 to 70,1629.43,1342.79
70,70 to 75,868.15,680.33
75,75 to 80,408.44,384.7
80,80 and over,336.69,348.79
