class,age,male,female
0,0 to 1,4619.66,4169.5
1,1 to 5,18090.33,16299.23
10,10 to 15,21428.91,18035.21
15,15 to 20,15565.25,10817.5
20,20 to 25,12758.54,11160.69
25,25 to 30,12961.34,12450.84
30,30 to 35,13273.1,12682.96
35,35 to 40,11757.3,10609.03
40,40 to 45,9487.27,8306.94
45,45 to 50,7660.05,7478.93
5,5 to 10,24711.73,21904.46
50,50 to 55,6917.91,6095.78
55,55 to 60,5682.43,6402.01
60,60 to 65,6105.51,5106.58
65,65 to 70,3997.91,3388.94
70,70 to 75,2320.85,1770.15
75,75 to 80,1069.14,908.21
80,80 and over,898.24,888.06
