class,age,male,female
0,0 to 1,2617.39,2284.73
1,1 to 5,10249.54,8931.36
10,10 to 15,12983.43,11134.42
15,15 to 20,10502.31,7458
20,20 to 25,9357.39,7577.68
25,25 to 30,8495.69,7873.04
30,30 to 35,8426.26,7913.97
35,35 to 40,7251.75,6487.6
40,40 to 45,5929.42,5246.77
45,45 to 50,4735.25,4529.5
5,5 to 10,13109.12,11499.49
50,50 to 55,4135.16,3814.27
55,55 to 60,3533.45,3974.88
60,60 to 65,3655.37,3511.81
65,65 to 70,3064.99,2691.03
70,70 to 75,1809.13,1457.75
75,75 to 80,974.59,894.44
80,80 and over,897.78,963.18
