class,age,male,female
0,0 to 1,2518.5,2251.85
1,1 to 5,9862.33,8802.86
10,10 to 15,13495.07,11595.85
15,15 to 20,11328.99,9213.56
20,20 to 25,9625.23,7900.07
25,25 to 30,9010.4,8235.15
30,30 to 35,8771.39,8348.35
35,35 to 40,7621.55,7050.14
40,40 to 45,6445.54,5838.13
45,45 to 50,5309.94,5165.04
5,5 to 10,14294.23,12433.03
50,50 to 55,4788.92,4311.9
55,55 to 60,3963.18,4222.32
60,60 to 65,3905.2,3456.76
65,65 to 70,2844.73,2584.6
70,70 to 75,1912.03,1574.82
75,75 to 80,1086.34,956.4
80,80 and over,1006.75,967.38
